1 356 0 0    4.6 80.95      0.00013423 80.5884 1.97887e-05 0 0 967298      0 0.00013423  0 80.5884  0 1.97887e-05  0 0  0 0  0 967298       0 0.00013423  0 80.5884  0 1.97887e-05  0 0  0 0  0 967298 
1 356 0 0    4.63 81.13      0.000176191 80.7373 2.59876e-05 0 0 967298      0 0.000176191  0 80.7373  0 2.59876e-05  0 0  0 0  0 967298       0 0.000176191  0 80.7373  0 2.59876e-05  0 0  0 0  0 967298 
1 356 0 0    4.65 81.18      0.00019002 80.7301 2.81334e-05 0 0 967298      0 0.00019002  0 80.7301  0 2.81334e-05  0 0  0 0  0 967298       0 0.00019002  0 80.7301  0 2.81334e-05  0 0  0 0  0 967298 
1 356 0 0    5.13 80.69      0.000205278 80.2989 3.17097e-05 0 0 967298      0 0.000205278  0 80.2989  0 3.17097e-05  0 0  0 0  0 967298       0 0.000205278  0 80.2989  0 3.17097e-05  0 0  0 0  0 967298 
1 356 0 0    4.68 81.19      0.000193119 80.6892 3.21865e-05 0 0 967298      0 0.000193119  0 80.6892  0 3.21865e-05  0 0  0 0  0 967298       0 0.000193119  0 80.6892  0 3.21865e-05  0 0  0 0  0 967298 
1 356 0 0    5.13 80.91      0.00017786 80.5207 3.31402e-05 0 0 967298      0 0.00017786  0 80.5207  0 3.31402e-05  0 0  0 0  0 967298       0 0.00017786  0 80.5207  0 3.31402e-05  0 0  0 0  0 967298 
1 356 0 0    5.14 80.94      0.000178099 80.539 2.69413e-05 0 0 967298      0 0.000178099  0 80.539  0 2.69413e-05  0 0  0 0  0 967298       0 0.000178099  0 80.539  0 2.69413e-05  0 0  0 0  0 967298 
1 356 0 0    5.21 80.95      0.000236034 80.4501 4.1008e-05 0 0 967298      0 0.000236034  0 80.4501  0 4.1008e-05  0 0  0 0  0 967298       0 0.000236034  0 80.4501  0 4.1008e-05  0 0  0 0  0 967298 
1 356 0 0    5.17 81.04      0.000576735 80.6008 3.69549e-05 0 0 967298      0 0.000576735  0 80.6008  0 3.69549e-05  0 0  0 0  0 967298       0 0.000576735  0 80.6008  0 3.69549e-05  0 0  0 0  0 967298 
1 356 0 0    5.11 81.76      0.000207186 81.4058 3.71933e-05 0 0 967298      0 0.000207186  0 81.4058  0 3.71933e-05  0 0  0 0  0 967298       0 0.000207186  0 81.4058  0 3.71933e-05  0 0  0 0  0 967298 
1 356 0 0    5.11 82.13      0.000154734 81.7503 2.57492e-05 0 0 967298      0 0.000154734  0 81.7503  0 2.57492e-05  0 0  0 0  0 967298       0 0.000154734  0 81.7503  0 2.57492e-05  0 0  0 0  0 967298 
1 356 0 0    5.12 82.18      0.00013423 81.7947 2.57492e-05 0 0 967298      0 0.00013423  0 81.7947  0 2.57492e-05  0 0  0 0  0 967298       0 0.00013423  0 81.7947  0 2.57492e-05  0 0  0 0  0 967298 
4 356 0 0    2.7 70.4      1.69654 68.5925 0.0117524 0 0 241824      0 1.422  3 68.3862  3 0.0109208  0 0  0 0  3 240985       3 1.90411  0 68.8665  1 0.0128236  0 0  0 0  0 242664 
4 356 0 0    2.65 64.72      1.03587 63.5763 0.0104486 0 0 241824      0 0.847699  3 63.3551  1 0.00961828  0 0  0 0  3 240985       3 1.25662  0 63.7646  3 0.0113983  0 0  0 0  0 242664 
1 356 0 0    3.76 115.78      0 115.554 0 0 0 967298      0 0  0 115.554  0 0  0 0  0 0  0 967298       0 0  0 115.554  0 0  0 0  0 0  0 967298 
1 356 0 0    5.28 119.85      0 119.61 0 0 0 967298      0 0  0 119.61  0 0  0 0  0 0  0 967298       0 0  0 119.61  0 0  0 0  0 0  0 967298 
1 356 0 0    3.68 121.83      0 121.606 0 0 0 967298      0 0  0 121.606  0 0  0 0  0 0  0 967298       0 0  0 121.606  0 0  0 0  0 0  0 967298 
